epoch,loss
0,0.033799655589973554
1,0.020728527320898138
2,0.016219754586927593
3,0.013663666512002237
4,0.011981763804215007
5,0.010269206133671105
6,0.009039966695127077
7,0.007953527398058213
8,0.007049235609883908
9,0.00637844622542616
0,0.002927952340542106
1,0.0014364415874297265
2,0.0012765701230819104
3,0.0011888227163581178
4,0.0011202974692423595
5,0.0010587879387458088
6,0.0010215281599812442
7,0.0009821931798796868
8,0.0009571420823704102
9,0.0009406165613654593
0,0.0014682072669529589
1,0.0006740686676494079
2,0.0006318879568425473
3,0.0005940904375165701
4,0.0005766330968981492
5,0.0005603754539151851
6,0.0005561843067880545
7,0.0005444301737043133
8,0.0005360542595553852
9,0.0005255574806142249
0,0.0013448953300212452
1,0.0007217262482299702
2,0.0006477669567175326
3,0.0006227060662240547
4,0.0006068205602787202
5,0.0005998273695695389
6,0.0005752032902819337
7,0.0005657214228449448
8,0.0005565570063481573
9,0.0005482808069245948
0,0.009888936881907284
1,0.005030129330407362
2,0.004195283217995893
3,0.003710833356308285
4,0.00344508240596042
5,0.003125751558400225
6,0.002874601981602609
7,0.002700727702176664
8,0.0025258697860408574
9,0.0023873997924965806
0,0.0009658303370088106
1,0.0006354785209623515
2,0.0005845736486662645
3,0.0005489678787853336
4,0.0005082881762064062
5,0.0004863497260885197
6,0.0004607547043633531
7,0.000443781800186116
8,0.000428665619892854
9,0.0004140871906201937
0,0.00030157700030031265
1,0.00018967818823512061
2,0.00017502588593742985
3,0.00016591697544754425
4,0.00015851994999138697
5,0.00015496114929192117
6,0.00014749407068848086
7,0.00014319229558168445
8,0.00013827751604367222
9,0.00013518720629690506
0,0.003104263777458982
1,0.001939905931976682
2,0.0013466602185872034
3,0.0009174452115985332
4,0.0007453888329109759
5,0.0005641497527903994
6,0.0004895745446447108
7,0.00041867167283271556
8,0.00036106851666772855
9,0.0003313438692202908
0,0.005094846346764825
1,0.002446359279929311
2,0.0017913907449838007
3,0.0014233422334655188
4,0.0012247911381564336
5,0.0010442665761729586
6,0.0009482611621933756
7,0.0008509755352861248
8,0.0007816102779543144
9,0.000733041870262241
0,0.0009364511556668731
1,0.0004240194348312798
2,0.0003109819199380581
3,0.00025965970075958467
4,0.00023216635429434973
5,0.00020528581467260665
6,0.00018475714364285523
7,0.00018369009762864152
8,0.0001610279716715013
9,0.00015376222404483997
0,0.005279607110423967
1,0.0023783941142028198
2,0.002000305838009808
3,0.001732690096105216
4,0.0016403500212618383
5,0.0015376742721855408
6,0.0014994145622040378
7,0.0014490137891698396
8,0.0013730275559282745
9,0.0013347796993912198
0,0.0014653138914582087
1,0.000865172025442007
2,0.0008059049496296211
3,0.0007698561353208788
4,0.0007452970585291041
5,0.0007319665705836087
6,0.0007047798735584365
7,0.0006923005412318162
8,0.0006975123560550855
9,0.0006732784413543413
0,0.00020181841364319553
1,0.0001578052958848275
2,0.00013961955255581415
3,0.00012637743725463224
4,0.00012074221331204171
5,0.0001097988188121235
6,0.00010511953803415963
7,0.0001027387527301471
8,9.85719891559711e-05
9,9.272582326502743e-05
0,7.90403419159702e-05
1,6.58268843380938e-05
2,6.23444509528781e-05
3,6.150154683837172e-05
4,5.692128206646885e-05
5,5.215980422690336e-05
6,5.08619830270618e-05
7,4.994389274770583e-05
8,4.968570755181645e-05
9,4.838242875848664e-05
0,0.000800605013864697
1,0.00046315914141814574
2,0.0003660892534753657
3,0.00032363300169890863
4,0.00030942954572310555
5,0.0002423570242626738
6,0.00021481380031218578
7,0.00019427887400524924
8,0.00017407349196219002
9,0.00016882729494227533
0,0.0015499258661293425
1,0.000592032952226873
2,0.000390065621559188
3,0.00033616220298426924
4,0.00029147029090381693
5,0.0002457885934745718
6,0.00023063092658048845
7,0.0002134617088813684
8,0.00020206310205139744
9,0.0001872020613973291
0,6.158977623726969e-05
1,4.967886854956305e-05
2,4.138842103884599e-05
3,3.8980072702088364e-05
4,3.6412088718407176e-05
5,3.6562653122018673e-05
6,3.3883133596646076e-05
7,3.274037152323217e-05
8,3.177205513793524e-05
9,3.1270635702185245e-05
0,4.3753628119702626e-05
1,3.860898203811303e-05
2,3.620093445988459e-05
3,3.552069298962124e-05
4,3.261292766865154e-05
5,3.0355546982718806e-05
6,2.9654825823399733e-05
7,2.9305243799626624e-05
8,2.698176686521947e-05
9,2.725845828877027e-05
0,7.267461035098677e-05
1,5.451207067608266e-05
2,5.065644336355035e-05
